head-word,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,modern-spelling,part-of-speech,references,reference-link,annotation-id,synonym-in-glossary,antonym-in-glossary,see-also-in-glossary,questions-observations-examples-references,folio,entry-id,entry-heading,editorial-comment,editors-notes,uncertain
Planter,,,"to plant, or to arrange or set, such as of arranging animals for lifecasting on a slab of clay",,,v. ,,,,,,,,129v,,,,,
Plaste,plastre,,"slab of earth clay, on which animals being arranged for lifecasting are set",,plaque,n.(m),,,,,,plate,unify as slab,,,,,,
Plastre,,,plaster,,plâtre,n.(m),,,,,,,,,p159v_4,,,,
Plastre meslé,,,mixed plaster,,,n.(m),,,,,plastre seul,,,,,,,,
Plate,platte,,flat ingot,,,n.(f),,,,,,plaste,,,,,,,
Platine,platene,1,thin piece of metal or wood,,,n.(f),,,,,,,,,,,,,
Platine,,2,"slab, in Fr. 640, used for preparing for lifecasting",,,n.(f),,,,,,,,,,,,,
Platine,,3,small plate,,,n.(f),COT1611,,,,,,,168r,,,,,
Platteforme,platte forme,1,platform (in artillery),,,n.(f),,,,,,,,,,,,,
Platteforme,,2,"in clockmaking, this refers to a device for scoring cogs evenly (on fol. 82r)",,,,,,,,,,,,,,,,
Plume de Holande,,,Dutch quill (a quill that has been heated in sand or before the fire in order to harden it),,,n.(f),,,,,,,,,,,,,
Plustost,,,before,,plutôt,adv.,,,,,,,,,,,,,
Poeslon,poilon | poilonne,,skillet,,poêlon,n.(m),,,,,,,,136v,,,,,
Poignée,,,grip,,,n.(f),,,,,,,,,p094r_1,,,,
Poinçon,,1,puncheon,,,n.(m),,,,,,,,49r | 165r | 170r,,,,,
Poinçon,,2,bodkin,,,n.(m),COT1611,,,,,,,33v,,,,,
Poincte en blanc,,,at point blank,,,n.(f),bourne1969,,,,,,,,p017r_1,,,,
Pointer une pièce,,,to mount a piece,,,v. ,,,,,,,,,p017r_1,,,,
Poix resine,,,pitch resin,,,n.(m),,,,,,,,,,,,,
Polir,,,to polish,,,v.,,,,,,brunir,,92r,,,,,
Poly,,,polished,,poli,adj.,,,,,,,,,,,,,
Pommeau,,,pommel (of a sword),,,n.(m),,,,,,,,,,,,,
Pomole,,,a type of barley,Occitan,paumelle,n.(f),littre1873,,,baillard,,,,,,,,,
Poncer,,1,"to smooth with pumice, to polish",,,v.,COT1611,,,,,,,80v | 81r | 60r,,,,,
Poncer,,2,"to pounce, to transfer a design by pricking a pattern with a pin and marking through the pricked holes with charcoal or chalk or similar ",,,v.,TLFi2019,,,,,,,,p039v_3,,,,
Poncis,,,pounced design,,poncif,n.(m),TLFi2019,,,,,,,,,,,,
Pone,ponne,,vat of earthenware or stone,Poitevin,ponne,n.(f),DMF2015,,,,,,,121r,,,,,
Pontet,,,"defined by the author-practitioner on fol. 94r in the context of sword construction as an ""iron strip which closes off the branch which is at the end of the ricasso to stop thrusts from sliding into the guard""",,,n.(m),,,,,,,,,p094r_1,,,,
Porceau,,,hog,,,n.(m),,,,,,,,,,,,,
Porceau,,,hog's fennel,,,n.(m),COT1611 | OED2008,,,,,,,,,,,,
Porphyre,,,"porphyry, in Fr. 640, often referring to the porphyry slab used for grinding on",,,n.(m),,,,,,,,,,,,,
Portée,,,range (of a gun),,,n.(f),littre1873,,,,,,,,,,,,
Portepiece,,,"cutting-punch, a tool for punching and cutting out pieces of metal plate",,emporte-pièce,n.(m),boyer1727 | diderot2017,https://books.google.fr/books?id=2qdSAAAAcAAJ&pg=PP114&dq=%22emporte-piece%22&hl=fr&sa=X&ved=0ahUKEwjln7a4sKjcAhVSzqQKHXmxBNEQ6AEILjAB#v=onepage&q=%22emporte-piece%22&f=false,,,,,,151v,,,,,
Portevent,,,pipe that directs the air from the bellows through the <i>tuelle</i> and up into the furnace,,,n.(m),,,,,,,,,,,,,
Portraire,,,"to draw, to portray, to depict",,pourtraire,v.,,,,,,,,,p062r_4,,,,
Poser,,1,to set,,,v.,,,,,,,,,,,,,
Poser,,2,to lay (with gold leaf),,,v.,,,,,,,,7v | 8r,,,,,
Poser,,3,to put down,,,v.,,,,,,,,11r,,,,,
Pot,,,pot,,,n.(m),COT1611,,,,,,,,,,,,
Potée,pottée,,putty (meaning either a powder or a paste),,,n.(f),COT1611 | OED2008,,,,,,,,,,,,
Potence,,,crutch (for propping up a portcullis),,,n.(f),COT1611,,,,,,,,,,,,
Potin,potein,,"an alloy of copper and tin, usually with lead and zinc, formerly used in the manufacture of coins",,potin,n.(m),OED2008,,,,,,,,,,,,
Potiron,,,a large mushroom that often grows overnight,,,n.(m),godefroy1971 | TLFi2019,,,,,,,,p118r_3,,,,
Poudre grené,,,great grain powder (for a cannon),,,n.(f),COT1611,,,,,,,167r,,,,,
Pouldre d'oribus,,,"According to Cotgrave, ""powder of projection, or of the Philosopher's stone; tearmed thus (in derision, and) because much gold hath beene wasted in the searching for it; thence also, any cousening, or iugling powder.""  It refers to a form of the philosophers' stone, i.e., an alchemical powder projected over metal to transmute it into a nobler metal (such as gold).",,,n.(m),COT1611,,,poudre de perlimpinpin,,,,,,,,,
Pouldrier,,,gunpowder maker,,,n.(m),COT1611,,,,,,,,,,,,
Poulsse,pousse,,"thumb, a unit of measure not to be confused with an inch",,pouce,n.(m),COT1611,,,,,,,,,,,,
Pourtraict,,,"portrait, picture",,portrait,n.(m),,,,,,,,,p060v_4,,,,
Pratiquer,,,to put in use,,,v.,,,,,,,,139r,,,,,
Prele,,,"horsetail reed, used for polishing and sanding, e.g., of gessoed panels",,prêle,n.(f),COT1611,,,,,,,,,,,,
Presse,,,press,,,n.(f),,,,,,,,,,,,,
Prester,,,to be malleable,,,v.,,,,,,,,29r | 114r,,,,,
Prinquer,,,"to prick, leaving a mark on marble with a knife",Poitevin,piquer,v.,beauchet-filleau1864,,,,,,,056v,,,,,
"Prinse, faire",,1,"to set (of plaster, cement, and the like)",,,v.,,,,,,,,,,,,,
"Prinse, faire",prise,2,to hold together,,,v.,,,,,,,,121r,,,,,
"Pris, faire bonne",,,"to give a good hold, used in Fr. 640 to describe the consistency of sand used for frame casting",,,v.,,,,,,,,,,,,,
Priver,,,"to rid of something (humidity, dust)",,,v.,,,,,,,,118v | 121r,,,,,
Propre,,,"appropriate, suitable",,,adj.,DMF2015,,,,,,,,p088r_1,,,,
Proprement,,,"readily, properly, aptly",,,adv.,,,,,,,,,,,,,
Pulverin,,,fine powder used for priming a gun,,,n.(m),,,,,,,,,,,,,
Purger,"se purger, repurger",,"to purge, to cleanse",,,v.,,,,,,,,,,,,,
Purpurine,,,"aurum musivum, aurum mosaicum, mosaic gold (a mixture of tin, sulfur, mercury and sal ammoniac)",,,n.(f),,,,,,,,43r,,,,,
Puys rodier,,,type of well operated with one or more wheels,Occitan,,n.(m),,https://books.google.com/books?id=245NAAAAcAAJ&lpg=PA580&ots=ohaHaR4Uk-&dq=%22puis%20rodier%22&pg=PA580#v=onepage&q=%22puis%20rodier%22&f=false,,,,,,,,,,,
Qualibre,,,caliber,,calibre,n.(m),,,,,,,,,p019r_1,,,,
Quarteron,,,"a term designating several measurements; according to Cotgrave,  ""a quarter of a pound; also, a quarterne (or the fourth part) of a hundreth; also, a Pinte, or little Quart; also, the halfe of an Emine; also, a Quarter of the Moone. (En Languedoc le Quarteron, commun & pour le bled, & pour la terre qui le produit, contient 4 Civadiers, dits aussi boisseux, divisez par demiz.)""",,,n.(m),COT1611,,,,,,,,p097r_2,,,,
Quenouille de lit,quenoille,,bedpost,,,n.(f),COT1611,,,,,,,,p025v_1,,,,
Queue,,1,tail (of an animal or a sword),,,n.(f),,,,,,,,,,,,,
Queue,,2,"tang of a sword, i.e., the back portion of the sword that attaches sword blade the handle ",,,n.(f),,,,,,gect,,,,,,,
Queue,,3,stalk (of a flower),,,n.(m),,,,,,,,122r,,,,,
Queue de pourceau,queue de pourrcealx,,hog's fennel,,,n.(f),valmont-bomare1769,,,,,porceau,,,,,,,
Quintal,,,"hundredweight, 100 pounds",,,n.(m),COT1611,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Rabot,,,joiner's plane,,,n.(m),COT1611,,,,,plane,,,p094r_1,,,,
Rachault,rechault,1,chafing-dish,,réchaud,n.(m),,,,,,,,,,,,,
Rachault,,2,embers,,,n.(m),COT1611,,,,,,,071v,,,,,
Racler,,,to scrape,,,v.,,,,,,,,,,,,,
Raclouer,,,scraper,,,n.(m),,,,,,,,139r,,,,,
Racoustrer,,,to mend,,raccoutrer,v.,COT1611,,,,,reparer,,,,,,,
Rang,,,"rank, of cavalry",,,n.(m),,,,,,,,,,,,,
Ranunculus,,,buttercup (<i>Ranunculus repens</i>),Latin,,n.(m),,,,,,,,121r,,,,,
Raporter,,,"to join, to assemble",,rapporter,v. ,COT1611,,,,,,,,,,,,
Rappe,,,"pomace, the grape skins, stems, etc. left over after pressing",,râpe,n.(m),,,,,,,,,,,,,
Rare,,,rarefied,,,adj.,OED2008,,,,,,,,,,,,
Rat liron,,,dormouse,,loir,n.(m),furetiere1687,,,,,,,,,,,,
Ratisseure,,,scrapings,,ratissure,n.(f),COT1611,,,,,,,,,,,,
Realgar,,,"realgar (an arsenal sulphide mineral, also known as ruby sulphur, or ruby of arsenic); used as a yellow pigment",,,n.(m),COT1611 | DAF2018,,,,,,,,,,,,
Realle,,,real (a currency unit),,,n.(m),,,,,,,,,,,,,
Rechief,,,once again,,,adv.,,,,,,,,,,,,,
Recuire,,1,"to transform again by the action of heat. On fol. 111r, the author defines ""recuire"" as the process of turning a mold red for the second time (“Faire pour la seconde fois rougir”). He contrasts this process to drying (“desseicher”) metals. Similarly, on a margin note of fol.118v, “recuire” is defined as “turning a frame red,” a process similar to what “is done for gold and silver.”",,,v.,,,,,,,,111r | 118v,,,,,
Recuire,,2,"to anneal (a specific heating treatment which craftsmen use in order to “perfect their craft” or “make it more durable.” Goldsmiths, for example, restitute the desired malleability and ductility of their objects by reheating or annealing them. Glassblowers use a special furnace to reheat the glass to prevent it from shattering. This process is known as “annealing” or “tempering” in English. See Ashbee’s translations of “ricuocere” in Benevenuto Cellini’s <i>Two Treatises</i>)",,,v.,DAF2018 | cellini1857,,,,,,,,,,,,
Refort,,,"to transform again by the action of heat. On fol. 111r, the author defines ""recuire"" as the process of turning a mold red for the second time (“Faire pour la seconde fois rougir”). He contrasts this process to drying (“desseicher”) metals. Similarly, on a margin note of fol. 118v, “recuire” is defined as “turning a frame red,” a process similar to what “is done for gold and silver.”",,raifort,n.(m),TLFi2019,,,,,,,,p055v_2,,,,
Refoulement,,,ramming in,,,n.(m),COT1611,,,,,,,018r,,,,,
Refouler,,,to ram in,,,v.,COT1611,,,,,,,018r,,,,,
Refoulouer,,,rammer,,refouloir,,,,,,,,,025r,,,,,
Regulus,,,"regulus (piece of metal separated from a mineral or ore by smelting or reduction, as the first stage of purification)",Latin,régule,n.(m),OED2008,,,,,,,,,,,,
Rehaulsser,rehaulser,,to heighten (in painting),,rehausser,v.,COT1611,,,,,,,,,,,,
Rehaulssement,rehaulsement,,highlight,,,n.(m),,,,,,,,,,,,,
Relief,,,"relief, in modelling and sculpture",,,n.(m),,,,,,,,,,,,,
Relief entier,,,high relief,,,n.(m),franke1855,,,,,,,042r,,,,,
Remoiller,,,to moisten again,,,v.,godefroy1971,,,,,,,,,,,,
Remouldre,,,to grind again,,remoudre,v.,COT1611,,,,,,,020r,,,,,
Rendre,,,to render,,,v. ,,,,,,,,,,,,,
Renfoncement,,,shadows (in painting),,,n.(m),COT1611,,,,,,,,,,,,
Renfondrement,,,darkening,,,n.(m),COT1611,,,,,,,,p031v_1,,,,
Reparer,,,to repair the surface of a cast,,,v.,,,,,,ciseler,,163v,,,,,
Repousser,,,to push back,,,v.,,,,,,,,,,,,,
Residence,,,residue,,,n.(f),DMF2015,,,,,,,,,,,,
Resine,rousine,,resin,,résine,n.(f),,,,,,colophoine,,,,,,,x
Ressuivre,ressuicts,,to retrace (to follow an existing line with another medium),,resuivre,v.,,,,,,,,,,,,,
Ret,,,net,,rets,n.(m),COT1611,,,,,,,,p054v_1,,,,
Retailleure,,,shreds,,,n.(f),COT1611,,,,,,,,,,,,
Retirements,,,nooks,,,n.(m),,,,,,,,130v,,,,,
Retirer,,,"to extract, of pigments",,,v.,,,,,,,,011r,,,,,
Retirer à,,,to resemble,,,v.,COT1611,,,,,,,066r,,,,,
"Retirer, faire",,1,to take away or remove something from something else,,,v.,,,,,,,,129v,,,,,
"Retirer, faire",,2,to contract,,,v.,,,,,,,,,,,,,
Revirer,,,to rotate,,,v.,COT1611,,,,,,,096v,,,,,
Rhubarbe de moynes,,,"monk's rhubarb,Alpine dock  (<i>Rumex alpinus</i>)",,,n.(f),,http://www.florealpes.com/fiche_rumexalpes.php,,,,lapathium acutum | vinette,,,,,,,
Riveure,ribeure | ribleure,,rivet,,rivure,n.(f),DMF2015,,,,,,,094_1,,,,,
Rocaille,roquaille,,"rocaille is a term for small glass beads, which could be colorless or tinted. For enameling, those with least color were normally recommended for use.",,,n.(f),COT1611 | DMF2015 | OED2008,,,,,,,032v | 37v,,,,,
Rogner,rongner,,"to pare, trim",,,v.,COT1611,,,,,,,,,,,,
Roide,,,"rigid, vigorous, fierce",,raide,adj.,DMF2015,,,,,,,,,,,,
Roidement,,,"steadily, constantly, fiercely",,,adv.,COT1611,,,,,,,,p017r_1,,,,
Rondeur,,,circumference,,,n.(f),vitruve1567,,,,,,,,,,,,
Roration,,,"to moisten, to wet, or to sprinkle with dew. Singular instance on fol. 161v",,,n.(f),OED2008,,,,,,,161v,,,,,
Rose alexandrine,,,"Meaning uncertain, likely a pink pigment made with materials thought to have come from Alexandria; perhaps Alexandrine ruby found on the banks of the Nile",,,n.(f),,,,,,,,,,,,,x
Rosette,,1,pure red copper,,,n.(f),littre1873 | OED2008 | COT1611,,,,,cuivre franc,,,,,,,
Rosette,,2,"bright red, vermilion (as a color)",,,n.(f),COT1611 | kirby2010,https://drive.google.com/#folders/0BwJi-u8sfkVDelpQb3J4QkVyTkU,,,,,,,,,,,
Rostie,,,toast,,rôtie,adj.,DMF2015,,,,,,,,,,,,
Rouer,,,to roll,,,v.,DMF2015,,,,,,,,,,cannot find in ms,,
Rouge clair,rouge cler,,a method of enamelling red glass on gold,,,adj.,,,,,,,,006v | 040v | 029v | 157r,p029v_6,,,,
Rouge d'escaille,,,"A red pigment used in glass painting which the author-practitioner calls “the red from Germany.” <i>Ecailles</i> means “scales” and often refers to metal scoria, perhaps suggesting a metal or mineral origin of the pigment.",,,n. (m),,,,,,noir d'escaille,,,,,,,
Rouge en corps,,,red in body (probably in the sense of opaque red),,,adj.,,,,,,,,,,,,,x
Roussir,,,to wax red,,,v.,COT1611,,,,,,,,,,,,
Rude,,,rough (of sand),,,,,,,,doulx,,check other meanings,153v,,,,,
Saba,,,sap of trees,Occitan,sève,n.(f),,http://www.micmap.org/dicfro/search/littre/s%C3%A9ve,,,,save,,087v,,,,,
Sable,,,"sand (powders of various sorts used to make molds). In Fr. 640, also used to denote plaster molds",,,n.(m),,,,,,,,,,,,,
Sablon,,,"sand bank or sand gravel, type of geological formation where one finds a deposit or concentration of gravel and sand usually due to erosion",,,n.(m),,,,,,,,,p026r_1,,,,
Sablonneulx,,,sandy,,sablonneux,adj.,,,,,,,,,,,,,
Safran,,,saffron,,,n.(m),,,,,,crocum,,,,,,,
Safre,,,"cobalt oxide of a blue color sometimes used for making cobalt glass, a blue sapphire glass that was ground to make smalt, used as a pigment",,,n.(m),,,,,,,,011r,,,,,
Sainct Michel,,,Michaelmas (29 September),,,n.(f),,,,,,,,,,,,,
Sal gemme,,,rock salt,,sel gemme,n.(m),,,,,,,,,,,,,
Salicor,,,saltworth (a herb),,,n.(m),COT1611,,,,,,,,,,,,
Salpestre,,,saltpeter,,salpêtre,n.(m),,,,,,,,,,,,,
Salve,,,salvo,,,n.(f),OED2008,,,,,,,,,,,,
Sandal,,,"sandalwood, saunder",,,n.(m),COT1611,,,,,,,,,,,,
Sandrax,,,"sandarac (a hard resin from a conifer tree in Algeria, used in varnish production and pharmacy)",,,n.(m),kirby2010,,,,,,,,,,,,
Sang de dragon,,,"dragon's blood (juice from the dragon tree, also the herb called bloodwort)",,,n.(m),COT1611 | kirby2010,,,,,,,,,,,,
Sanguine,,1,"sanguine, earth pigment of a hue ranging from brown to red",,,n.(f),,,,,,,,,,,,,
Sanguine,,2,bloodstone,,,n.(f),COT1611 | OED2008,,,,,,,,,,,,
Santonique,,,"a plant, likely wormseed (<i>Artemisia cina</i>)",,,n.(f),COT1611 | DMF2015,,,,,,,129r,,,,,x
Sapper,,,to undermine,,,v. ,COT1611,,,,,,,,,,,,
Sarment,,,vine shoot,,,n.(m),,,,,,,,,,,,,
Sarrasine,,,portcullis,,,n.(f),TLFi2019,,,,,,,,,,,,
Sarrer,serrer,,"to close, to hold (e.g. sand encasing a flower)",,serrer,v. ,,,,,,,,122r | 121r,,,,,
Saulce,,,mixture,,sauce,n.(f),,,,,,,,,p104r_3,,,,
Saulcice,saulsisse,,"sausage (in Ms. Fr. 640, it is used to describe a cloth tube with powder, acting as a fuse for a petard)",,saucisse,n.(f),demontesson1783,,,,,,,023r | 023v,,,,,
Saulmon,,,"refers to a large ingot or mass of unprocessed metal straight from the furnace (see DMF2015). savary1741 notes they were commonly used by merchants as ballast, taking their name from their shape which resemble the salmon fish. Cf. <i>latte</i> and <i>grille</i>, which are smaller more processed ingots of lead and tin, respectively.",,saumon,n.(m),DMF2015 | savary1741,,,,,latte | grille,,030r,,,,,
Saulpoudrer,,,to sprinkle,,saupoudrer,v. ,,,,,,,,015r,,,,,
Sautiller,,,"to quiver, on melted silver",,,v. ,,,,,,,,,p165v_5,,,,
Sauvignon,,,one of two types of grape that the author-practitioner singles out for growing in tight bunches suitable for sugar casting,,,n. (m),,,,,,chauché,,,,,,,
Save,"seve, sabe",,"sap of trees; ""en sape"" when the sap is rising",,sève,n.(f),,,,,,,,,,,,,
Saye,,,small bristle brush used by goldsmiths,,saie,n.(f),TLFi2019,,,,,sayette,,,,,,,
Sayette,,,"tiny bristle brush (diminutive of <i>saye</i>, i.e. a small bristle brush used by goldsmiths)",,,n.(f),,,,,,saye,,,,,,,
Scribe,,,"scribe (in Ms. Fr. 640, it seems to refer to letter-painters, sign-painters, or more generally mediocre painters) ",,,n.(m),,,,,,,,,,,,,x
Scudegrun,,,"stil de grain yellow (pigment made from the sap of weld and chalk, from the German <i>schüttgrün</i>)",,,n.(m),,,,,,,,,,,,,
Sel alchali,,,alkali salt,,,,,,,,,,,,,,,,
Sel armoniac,,,"sal ammoniac, ammonium chloride, NH4CI",,Sel ammoniaque,n.(m),COT1611 | kirby2010,,,,,,,,,,,,
Sel blanc,,,"white salt, uncertain whether of a particular kind. Perhaps it refers to <i>sol blanc</i>, a white, calcareous earth mined particularly in Saxony.",,,n.(m),bertrand1771,,,,,,,,p052v_2,,,,x
Sel de armonic,,,"A salt, possibly sal ammoniac (ammonium chloride), called <i>de armonic</i> by the English, according to the author-practitioner",,,n.(m),,,,,,,,,,,,,x
Sel de salicor,,,salt of saltwort,,,n.(m),COT1611,,,,,,,068r,,,,,
Sel de tartre,,,salt of tartar,,,n.(m),,,,,,tarte,,,,,,,
Sel de verre,,,likely refers to the scum taken off the top of vitreous matter before it vitrifies,,,n.(m),"lemery1757, p. 514",https://books.google.com/books?id=hIU-AAAAcAAJ&dq=%22sel%20de%20verre%22&pg=RA1-PA514#v=onepage&q=%22sel%20de%20verre%22&f=false,,,,,,,,,,,x
Sel gemme,,,rock salt,,,n.(m),,,,,,,,,,,,,
Semal,,,vessel used to carry the wine harvest,,,n.(m),roquefort1808,https://books.google.com/books?id=gwdEAAAAcAAJ&pg=PA535&lpg=PA535&dq=%22semal%22+%22vaisseau%22&source=bl&ots=2oW7Nc821Y&sig=h6lou5b4XP6uMjMcR12vDiNCcsQ&hl=en&sa=X&ei=xYKtU8_3LaassQTe-YGIAw&ved=0CEMQ6AEwBQ#v=onepage&q=%22semal%22%20%22vaisseau%22&f=false,,,,,,,,,,,
Semblable,,,suchlike,,,adj.,,,,,,,,,,,,,
Semer,,1,to sow,,,v.,,,,,,,,,,,,,
Semer,,2,to disseminate,,,v.,,,,,,saulpoudrer,,057r,,,,,
Senegre,,,fenugreek (popular name for the plant also known in French as <i>fenugrec</i>),,senègre,n.(m),littre1873,,,,,,,,,,,,
Serain,,1,cool and humid evening air,,serein,n.(m),COT1611,,,,,,,029r,,,,,
Serain,,2,clear or windless (weather),,serein,adj.,,,,,,,,,,,,,
Sernaille,,,sand lizard (<i>Lacerta agilis</i>),Occitan,,n.(f),moreux2000,https://books.google.fr/books?hl=fr&id=gktdAAAAMAAJ&dq=inauthor%3A%22Bernard+Moreux%22&focus=searchwithinvolume&q=sarnaille,,,,,,,,,,,
Setier,,,"a measure for diverse things, and therefore of diverse sizes; physicians used the smallest, 3 ounces",,sestier,n.(m),COT1611,,,,,,,,,,,,
Sinapisé,,,mustard plaster,,sinapisme,n.(m),COT1611,,,,,,,120v,,,,,
Sol,,1,"gold (literally ""sun,"" the alchemical symbol for gold)",Latin,,,,,,,,,"on p166v, author uses “sol” (Latin for sun) for gold instead of the symbols ☉ or ☼.",166v,,,,,
Sol,,2,"currency unit, 12 deniers and 1/20 of a livre. Abbreviated ""s.""",,sou,,OED2008,,,,,,,,,,,,
Sol,,3,sole (base or floor of a furnace),,,n.(f),,,,,,,,109r,p052v_2,,,,
Soliveau,,,joist,,,n.(m),,,,,,,,,,,,,
Solle,,,"Meaning uncertain, probably common salt",,,n.(f),dupuy1902,,ann_065_fa_18,,,,,,p075r_4,,,,
Son,,,bran,,,n.(m),COT1611,,,,,,,016v | 037r | 073r,,,,,
Sonnant,,,sonorous (of metal),,,adj.,,,,,,,,008v,,,,,
Sophistiqué,,,adulterated,,,p.p.,COT1611 | DMF2015,,,,,,,128r,p029v_6,,,,
Sophistiqueur,,,sophisticator (one who adulterates a material),,,n.(m),COT1611 | DMF2015,,,,,,,013v,,,,,
Soubdain,,,"immediately, quickly",,soudain,adv.,,,,,,,,,,,,,
Soufflement,,,"porosity (in casting), or bubbles",,,n.(m),,,,,,,,,,,,,
Souffler,soufler,1,to blow,,souffler,v.,,,,,,,,,,,,,
Souffler,,2,"to become porous, to fill with bubbles (in the context of casting, for example, when gases are mixed in and make the cast porous and brittle)",,souffler,v.,,,,,,,,113r | 145v | 146r,,,,,
Soufflet ,souflet,,bellows,,soufflet,n.(m),,,,,,,,,,,,,
Souffre vif,,,"natural sulfur, also known as virgin sulfur",,soufre vif,n.(m),littre1873 | COT1611,,,,,,,,,,,,
Soulcy,soulcis | solcy,,marigold,,souci,n.(m),,,,,,,,159v,,,,,
Souldure,,,solder,,soudure,n.(f),,,,,,,,,,,,,
Sourd,,,dull (of metal),,,adj.,,,,,,,,008v,,,,,
Sourdis,,,"spring, welling-up (of water)",Poitevin,,n.(m),godefroy1971 | DMF2015 | jonain1869,,,,,,,137r,,,,,
Souspirail,,,"Literally ""breathing hole;"" in Fr. 640, a vent (in molds for casting)",,soupirail,n.(m),,,,,,,,,,,,,
Soye,,,tang (spike-shape extension at the end of a sword blade by which it is fixed to the hilt),,soie,n.(f),OED2008,,,,,,,108r | 119r,,,,,
Spalt,aspalte | aspalthe | aspalt,,"white powder, perhaps feldspar or gypsum, a chalk-like deposit, zinc, or a zinc alloy; possibly synonymous with <i>spat</i>, described in Fr. 640 as found in Germany, near Augsburg",German,,n.(m),,,,,,"spat, aspalte",,106r |108r | 119r,,,,,
Spat,aspalte | aspalthe | aspalt,,"an earth used for frame-casting (described by the author-practitioner on fol. 108r, possibly synonymous with <i>spalt</i>",,,,,,,,,"spalt, aspalte",,,,,,,
Spatule,,,spatula,,,n.(f),,,,palette,,,,,,,,,x
Spongieulx,,,spongy,,spongieux,adj.,,,,,,,,,,,,,
Staphisagrie,staphisaigre,,stavesacre (plant whose seeds are used against lice and mange),,,n.(f),COT1611,,,,,,,,p104v_1,,,,
Stuc,,,stucco,,,n.(m),,,,,,,,012v,,,,,
Stuf,,,"a kind of granular limestone, or tufa",German,,n.(m),TLFi2019 | lucas1856,,,,,,,118r,,,,,
Sublimé,,,"sublimate (material that has been sublimed, i.e. heated into a vapor, then condensed or precipitated)",,,n.(m),,,,,,,,,,,,,
Substance,,,substance,,,n.(f),,,,,,,,,,,,,
Subtil,,1,delicate,,,adj.,,,,,,subtilier,,,,,,,
Subtil,,2,"fine, as in finely ground",,,adj.,,,,,,subtilier,,,,,,,
Subtilier,,1,"to grind finely, or to make thinner",,,v.,,,,,,,,,,,,,
Subtilier,,2,to disintegrate,,,v.,,,,,,,,127r,,,,,
Suffocation de la matrix,,,suffocation of the matrix (medical term used to designate female hysteria),,,n.(f),DMF2015,,,,,,,,p007v_2,,,,
Suin,suint,,fat,,,n.(m),,,,,,,,,,,,,
Suin de pourceau,,,pork fat,,,n.(m),,,,,,,,,,,,,
Suin de verre,axunge de verre,,"sandiver (also called ""glass gall,"" per Cotgrave: ""the fattie substance floating on glasse when it is red-hot in the furnace, and which being cold is as hard as stone, yet brittle, and easily broken"")",,,n.(m),COT1611 | diderot2017 | DSA,https://books.google.com/books?id=NudlvCuktwIC&pg=PA461&dq=%22Suint+de+verre%22&hl=fr&sa=X&ved=0ahUKEwi4--aDpdriAhVwQt8KHe_MDY0Q6AEIKDAA#v=onepage&q=%22Suint%20de%20verre%22&f=false,,,,,,,,,,,
Super,,,to drink,,,v.,,,,,,,,126r | 138r,,,,,
Superficie,superfice,,surface,,superficie,n.(f),,,,,,,,,,,,,
Supraplus,,,"The author practitioner uses this term to refer to the excess molten metal that is needed to fill the mold, but is not integral to the cast object.",,,n.(m),,,,,,masselote,,,,,,,
Table de verre,,,slab of glass for crushing colors,,,n.(f),,,,,,,,,p061v_4,,,,
Tableau,,,"panel, a painting on wood and usually not on canvas",,,n.(m),,,,,,,,,,,,,
Taffre,,,"taffer (a pigment usually obtained by roasting cobalt glance, white sand, or quartz; used in porcelain painting, and in enameling pottery, to produce a blue color)",,,n.(m),"COT1611 | stoll1893, p. 337",https://books.google.com/books?id=dqLVAAAAMAAJ&pg=PA337&lpg=PA337&dq=taffre+pigment&source=bl&ots=uPvKdV3xyh&sig=wcwJNVIHqPZOaIkpd1zP_zuJc1U&hl=en&sa=X&ved=0ahUKEwiuw4vco77NAhXCGT4KHe-iBjIQ6AEIMTAC#v=onepage&q=taffer&f=false,,,,,,,,,,,
Taille doulce,,,copper engraving,,taille-douce,n.(f),,,,,,,,,,,,,
Taille-basse,,,basse-taille (an enamelling technique),,,n.(f),,,,,,,,,,,,,
Tailler,,1,to cut (gemstones),,,v.,,,,,,,,,,,,,
Tailler,,2,to carve (figures in a seal),,,v.,,,,,,,,042r,,,,,
Tailler,,3,to engrave ,,,v.,,,,,,,,156r,,,,,
Taincture,,,"color, dye, tincture",,teinture,n.(f),,,,,,,,,p031r_2,,,,
Talan,,,the mouth end of the scabbard,,,n. (m),,,,,,,,,,,,,
Talc,,,"talc or talcum, a green-to-gray, soft mineral, hydrous magnesium silicate
",,,n.(m),,,,,,,,,,,,,x
Talluer,,,"to taper, to make tapering, of a wall",,taluter,v.,COT1611 | OED2008,,,,,,,,,,,,
Talon,,,ricasso of a sword,,,n.(m),,,,,,,,,p094r_1,,,,
Tamis,,,sieve,,,n.(m),,,,,,,,,,,,,
Tamiser,,,to sieve (for dry ingredients and to strain for wet ingredients),,,v.,,,,,,,,,,,,,
Tant y a,,,in any event ,,,phr.,,,,,,,,047v,,,,,
Tanvre,,,thin,,,adj.,,,,,,,,,,,,,
Tapir,,,to tamp down,,,v.,,,,,,,,,,,,,
Tapisser,,,to hang on,,,v.,COT1611,,,,,,,,,,,,
Tapon,,,"stopple, stopper",,,n.(m),COT1611,,,,,,,,,,,,
