 pastel woad flowers|001r||p001r_1
 oil|010v|For painting in oil on taffeta without the oil running|p010v_1
 batture|010v|For painting in oil on taffeta without the oil running|p010v_1
 turpentine|010v|For painting in oil on taffeta without the oil running|p010v_1
 colle forte|010v|For painting in oil on taffeta without the oil running|p010v_1
 water|010v|For painting in oil on taffeta without the oil running|p010v_1
 honey|010v|For painting in oil on taffeta without the oil running|p010v_1
 oil|010v|For painting in oil on taffeta without the oil running|p010v_1
 gold|010v|For painting in oil on taffeta without the oil running|p010v_1
 Water of alum|010v|For painting in oil on taffeta without the oil running|p010v_1
 oil|010v|For painting in oil on taffeta without the oil running|p010v_1
 gold leaf|010v|Ground for gold leaf on parchment or paper|p010v_2
 parchment|010v|Ground for gold leaf on parchment or paper|p010v_2
 paper|010v|Ground for gold leaf on parchment or paper|p010v_2
 starch glue|010v|Ground for gold leaf on parchment or paper|p010v_2
 gold|010v|Ground for gold leaf on parchment or paper|p010v_2
 gold leaf|010v|For cleaning gold leaf applied to iron|p010v_3
 iron|010v|For cleaning gold leaf applied to iron|p010v_3
 dry horse dung|010v|For cleaning gold leaf applied to iron|p010v_3
 ceruse|010v|For whitening ceruse|p010v_4
 eggs, divide them in half & take the yolk out, & between the two halves of the white|010v|For whitening ceruse|p010v_4
 ceruse|010v|For whitening ceruse|p010v_4
 clear water|010v|For whitening ceruse|p010v_4
 ceruse|010v|For whitening ceruse|p010v_4
 esmail d’azur|011r|Painting esmail d’azur in oil|p011r_1
 oil|011r|Painting esmail d’azur in oil|p011r_1
 ceruse|011r|Painting esmail d’azur in oil|p011r_1
 azur d’esmail|011r|Painting esmail d’azur in oil|p011r_1
 oil|011r|Painting esmail d’azur in oil|p011r_1
 azure|011r|Painting esmail d’azur in oil|p011r_1
 azure|011r|Painting esmail d’azur in oil|p011r_1
 marble|011r|Painting esmail d’azur in oil|p011r_1
 egg yolk|011r|Painting esmail d’azur in oil|p011r_1
 waters|011r|Painting esmail d’azur in oil|p011r_1
 azur d’esmail|011r|Painting esmail d’azur in oil|p011r_1
 egg yolk|011r|Painting esmail d’azur in oil|p011r_1
 waters|011r|Painting esmail d’azur in oil|p011r_1
 waters|011r|Painting esmail d’azur in oil|p011r_1
 water|011r|Painting esmail d’azur in oil|p011r_1
 azure|011r|Painting esmail d’azur in oil|p011r_1
 enamel|011r|Painting esmail d’azur in oil|p011r_1
 azures|011r|Painting esmail d’azur in oil|p011r_1
 rock water|011r|Painting esmail d’azur in oil|p011r_1
 water|011r|Painting esmail d’azur in oil|p011r_1
 azure|011r|Painting esmail d’azur in oil|p011r_1
 vert d'azur|011r|Painting esmail d’azur in oil|p011r_1
 azure|011r|Painting esmail d’azur in oil|p011r_1
 copper|011r|Painting esmail d’azur in oil|p011r_1
 Azure ash|011r|Painting esmail d’azur in oil|p011r_1
 oil|011r|Painting esmail d’azur in oil|p011r_1
 azure|011r|Painting esmail d’azur in oil|p011r_1
 Azur d’esmail|011r|Painting esmail d’azur in oil|p011r_1
 oil|011r|Painting esmail d’azur in oil|p011r_1
 egg yolk|011r|Painting esmail d’azur in oil|p011r_1
 clear water|011r|Painting esmail d’azur in oil|p011r_1
 colored water|011r|Painting esmail d’azur in oil|p011r_1
 damascene steel|011v|Color of damascene steel on knives|p011v_1
 steel|011v|Color of damascene steel on knives|p011v_1
 common aquafortis|011v|Color of damascene steel on knives|p011v_1
 water|011v|Color of damascene steel on knives|p011v_1
 earth|011v|Color of damascene steel on knives|p011v_1
 ashes|011v|Color of damascene steel on knives|p011v_1
 sand|011v|Color of damascene steel on knives|p011v_1
 gold|011v|Color of damascene steel on knives|p011v_1
 silver|011v|Color of damascene steel on knives|p011v_1
 raw mutton flesh|011v|For getting rid of the redness of eyes or bruising|p011v_2
 or mat|011v|For coating with or mat|p011v_3
 gold|011v|For coating with or mat|p011v_3
 diamond|011v|For diamond points for engraving|p011v_4
 stones|011v|For diamond points for engraving|p011v_4
 diamond|011v|For diamond points for engraving|p011v_4
 diamond|011v|For diamond points for engraving|p011v_4
 pumice stone powder|011v|For diamond points for engraving|p011v_4
 lead|011v|For diamond points for engraving|p011v_4
 stone|011v|For diamond points for engraving|p011v_4
 glass|011v|For diamond points for engraving|p011v_4
 varnish|011v|For diamond points for engraving|p011v_4
 glass|011v|For diamond points for engraving|p011v_4
 diamond|011v|For diamond points for engraving|p011v_4
 sapphire|011v|For diamond points for engraving|p011v_4
 nail|011v|For diamond points for engraving|p011v_4
 copper|011v|Polishing wheel of copper|p011v_5
 stone|011v|Polishing wheel of copper|p011v_5
 leather|011v|Polishing wheel of copper|p011v_5
 sulfur|012r|For molding sulfur|p012r_1
 Sulfur|012r|For molding sulfur|p012r_1
 soot black|012r|For molding sulfur|p012r_1
 pulverized sanguine|012r|For molding sulfur|p012r_1
 oil|012r|For molding sulfur|p012r_1
 verdigris|012r|For molding sulfur|p012r_1
 plaster|012r|For molding sulfur|p012r_1
 water|012r|For molding sulfur|p012r_1
 soot black|012r|For molding sulfur|p012r_1
 sulfur|012r|For molding sulfur|p012r_1
 sulfur|012r|For molding sulfur|p012r_1
 Chimolee|012r|Chimolee|p012r_2
 terre chimolee|012r|Chimolee|p012r_2
 fuller’s earth|012r|Chimolee|p012r_2
 cloth|012r|Chimolee|p012r_2
 chimolee|012r|Chimolee|p012r_2
 lead|012r|Chimolee|p012r_2
 chimolee|012r|Chimolee|p012r_2
 Paper|012r|Paper|p012r_3
 sulfur|012r|Paper|p012r_3
 cooked chimolee|012r|Paper|p012r_3
 white|012r|Paper|p012r_3
 gold|012r|Paper|p012r_3
 alabaster|012r|Paper|p012r_3
 white|012r|Paper|p012r_3
 lead white|012r|Paper|p012r_3
 glair of egg|012r|Paper|p012r_3
 peelings from the fig tree|012r|Paper|p012r_3
 white varnish|012r|Paper|p012r_3
 paper|012r|Paper|p012r_3
 Plaster|012r|Plaster|p012r_4
 marble|012r|Plaster|p012r_4
 sulfur|012r|Plaster|p012r_4
 oiling|012r|Plaster|p012r_4
 plaster|012r|Plaster|p012r_4
 water|012r|Plaster|p012r_4
 powder of the said plaster|012r|Plaster|p012r_4
 plaster powder|012r|Plaster|p012r_4
 stucco|012v|Molding stucco promptly|p012v_1
 brick|012v|Molding stucco promptly|p012v_1
 Armenian bole|012v|Molding stucco promptly|p012v_1
 sanguine|012v|Molding stucco promptly|p012v_1
 wax|012v|Molding stucco promptly|p012v_1
 plaster|012v|Molding stucco promptly|p012v_1
 pestled paper|012v|Molding stucco promptly|p012v_1
 terre chimolee|012v|Molding stucco promptly|p012v_1
 brick|012v|Molding stucco promptly|p012v_1
 bole|012v|Molding stucco promptly|p012v_1
 yellow pearls|012v|Cleaning yellow pearls|p012v_2
 tripoli|012v|Cleaning yellow pearls|p012v_2
 leather|012v|Cleaning yellow pearls|p012v_2
 powder of the said tripoli|012v|Cleaning yellow pearls|p012v_2
 pearl|012v|Cleaning yellow pearls|p012v_2
 enilanroc|012v|For whitening enilanroc|p012v_3
 ceruse|012v|For whitening enilanroc|p012v_3
 reheated enamel|012v|For whitening enilanroc|p012v_3
 arsenic|012v|For whitening enilanroc|p012v_3
 marble|012v|For whitening enilanroc|p012v_3
 enilanroc|012v|For whitening enilanroc|p012v_3
 iron|012v|For whitening enilanroc|p012v_3
 coals|012v|For whitening enilanroc|p012v_3
 lead|012v|For whitening enilanroc|p012v_3
 tin|012v|For whitening enilanroc|p012v_3
 agate|012v|For whitening enilanroc|p012v_3
 agate|013r||p012v_3
 brick|013r||p012v_3
 diamond|013r||p012v_3
 hog bristles|013r||p012v_3
 tripoli|013r||p012v_3
 ashes|013r||p012v_3
 alabaster|013r||p012v_3
 brick|013r||p012v_3
 arsenic|013r|Carnation from arsenic|p013r_1
 Sublimated arsenic|013r|Carnation from arsenic|p013r_1
 stone|013r|Carnation from arsenic|p013r_1
 marble|013r|Carnation from arsenic|p013r_1
 vermilion|013r|Carnation from arsenic|p013r_1
 lake|013r|Carnation from arsenic|p013r_1
 minium|013r|Carnation from arsenic|p013r_1
 Yellow arsenic|013r|Carnation from arsenic|p013r_1
 oil|013r|Carnation from arsenic|p013r_1
 lake|013r|Carnation from arsenic|p013r_1
 dyeing|013r|For dyeing|p013r_2
 sal ammoniac|013r|For dyeing|p013r_2
 vitriol|013r|For dyeing|p013r_2
 lake|013r|For dyeing|p013r_2
 verdet|013r|For dyeing|p013r_2
 azure|013r|For dyeing|p013r_2
 stones|013r|Polishing of stones|p013r_3
 Engraved tai stones|013r|Polishing of stones|p013r_3
 copper|013r|Polishing of stones|p013r_3
 tripoli|013r|Polishing of stones|p013r_3
 stones cut in facets and flat|013r|Polishing of stones|p013r_3
 raw silk|013r|Fine sieves of raw silk|p013r_4
 tammy of raw silk|013r|Fine sieves of raw silk|p013r_4
 raw silk whitened by sulfur smoke|013r|Fine sieves of raw silk|p013r_4
 raw silk|013r|Fine sieves of raw silk|p013r_4
 sulfur smoke|013r|Fine sieves of raw silk|p013r_4
 silk|013r|Fine sieves of raw silk|p013r_4
 flour|013r|Fine sieves of raw silk|p013r_4
 yellow raw & natural silk|013v||p013r_4
 flour|013v||p013r_4
 horsehair|013v||p013r_4
 azurite ash|013v|For knowing the good azurite ash for oil|p013v_1
 oil|013v|For knowing the good azurite ash for oil|p013v_1
 oil|013v|For knowing the good azurite ash for oil|p013v_1
 paper|013v|For knowing the good azurite ash for oil|p013v_1
 pearls|013v|Whitening of pearls|p013v_2
 soapy water|013v|Whitening of pearls|p013v_2
 Toadstone|013v|Toadstone|p013v_3
 tallow|013v|Candles|p013v_5
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 mud|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 wisps|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 stalks of hay or straw|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 stone|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 brick|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 light earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 arene|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 branches of heather|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 blocks of wood|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 heather|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 heather|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 earth|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 bricks|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 saltpeter|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 Damasked cloth|015r|Damasked cloth|p015r_1
 cloth|015r|Damasked cloth|p015r_1
 dyed|015r|Damasked cloth|p015r_1
 string|015r|Damasked cloth|p015r_1
 cord|015r|Damasked cloth|p015r_1
 dye|015r|Damasked cloth|p015r_1
 guesde woad|015r|Damasked cloth|p015r_1
 pastel woad|015r|Damasked cloth|p015r_1
 string|015r|Damasked cloth|p015r_1
 green dye|015r|Damasked cloth|p015r_1
 cord|015r|Damasked cloth|p015r_1
 string|015r|Damasked cloth|p015r_1
 paltry cloth|015r|Damasked cloth|p015r_1
 sand|015r|Foundry casting|p015r_2
 flour|015r|Foundry casting|p015r_2
 copper|015r|Foundry casting|p015r_2
 latten|015r|Foundry casting|p015r_2
 sand|015r|Foundry casting|p015r_2
 earth|015r|Foundry casting|p015r_2
 copper|015r|Foundry casting|p015r_2
 earth|015r|Foundry casting|p015r_2
 sand|015r|Foundry casting|p015r_2
 earth|015r|Foundry casting|p015r_2
 sandy clay|015r|Foundry casting|p015r_2
 horse dung|015r|Foundry casting|p015r_2
 cloth waste|015r|Foundry casting|p015r_2
 artificial sand|015r|Foundry casting|p015r_2
 copper|015r|Foundry casting|p015r_2
 lead|015r|Foundry casting|p015r_2
 metal|015r|Foundry casting|p015r_2
 gold|015r|Casting gold and silver|p015r_3
 silver|015r|Casting gold and silver|p015r_3
 sand|015r|Casting gold and silver|p015r_3
 founder's sand|015r|Casting gold and silver|p015r_3
 gold|015r|Casting gold and silver|p015r_3
 silver|015r|Casting gold and silver|p015r_3
 earth|015r|Casting gold and silver|p015r_3
 metal|015r|Casting gold and silver|p015r_3
 gold|015r|Casting gold and silver|p015r_3
 silver|015r|Casting gold and silver|p015r_3
 boxwood|015v|Tablets|p015v_1
 ebony|015v|Tablets|p015v_1
 sandalwood|015v|Tablets|p015v_1
 ivory|015v|Tablets|p015v_1
 gold|015v|Tablets|p015v_1
 silver|015v|Tablets|p015v_1
 damascening|015v|Tablets|p015v_1
 cuttlefish bone|015v|Tablets|p015v_1
 beryl|015v|Letter, more legible|p015v_2
 crystal|015v|Letter, more legible|p015v_2
 bronze|015v|Stamping|p015v_3
 lead|015v|Stamping|p015v_3
 thin plate of gold|015v|Stamping|p015v_3
 lead or annealed silver|015v|Stamping|p015v_3
 bronze|015v|Stamping|p015v_3
 wooden|015v|Stamping|p015v_3
 horn|015v|Softening horn|p015v_4
 horn|015v|Softening horn|p015v_4
 hot water|015v|Softening horn|p015v_4
 musked cotton|015v|Ears|p015v_5
 musk|015v|Ears|p015v_5
 clove of garlic|015v|Tooth ache|p015v_6
 doux iron|016r|Founding of doux iron|p016r_1
 iron|016r|Founding of doux iron|p016r_1
 realgar|016r|Founding of doux iron|p016r_1
 lead|016r|Founding of doux iron|p016r_1
 mixed orpiment|016r|Founding of doux iron|p016r_1
 brittle iron|016r|Founding of doux iron|p016r_1
 iron|016r|Founding of doux iron|p016r_1
 douls iron|016r|Founding of doux iron|p016r_1
 iron|016r|Founding of doux iron|p016r_1
 wallwort|016r|Founding of doux iron|p016r_1
 melt|016r|Founding of doux iron|p016r_1
 iron|016r|Founding of doux iron|p016r_1
 water|016r|Founding of doux iron|p016r_1
 iron|016r|Founding of doux iron|p016r_1
 doulx iron|016r|Founding of doux iron|p016r_1
 iron|016v||p016r_1
 iron|016v||p016r_1
 metal|016v||p016r_1
 iron|016v||p016r_1
 wetted ashes|016v||p016r_1
 quince seeds|016v|Against Gonorrhea|p016v_1
 clear water|016v|Against Gonorrhea|p016v_1
 viscous water|016v|Against Gonorrhea|p016v_1
 fine silk|016v|For removing fine hair from the forehead|p016v_2
 silk|016v|For removing fine hair from the forehead|p016v_2
 fine cottonc_016v_03 wisps|016v|For removing fine hair from the forehead|p016v_2
 Silk|016v|Silk|p016v_3
 Crimson|016v|Silk|p016v_3
 silks|016v|Silk|p016v_3
 oranges|016v|Keeping oranges|p016v_4
 tin|016v|Keeping oranges|p016v_4
 bran|016v|Candles|p016v_5
 hemp thread|016v|Candles|p016v_5
 cotton|016v|Candles|p016v_5
 cotton|016v|Candles|p016v_5
 fine arquebus powder|017r|On the gunner|p017r_1
 ordinary cannon powder|017r|On the gunner|p017r_1
 powder|017r|On the gunner|p017r_1
 powder|017r|On the gunner|p017r_1
 rosette|017r|On the gunner|p017r_1
 metal|017r|On the gunner|p017r_1
 rosette|017r|On the gunner|p017r_1
 fine metal of a la large bell|017r|On the gunner|p017r_1
 rosette|017r|On the gunner|p017r_1
 metal of small bells|017r|On the gunner|p017r_1
 metal|017r|On the gunner|p017r_1
 fine rosette|017r|On the gunner|p017r_1
 powder|017v||p017r_1
 powder|017v||p017r_1
 cannon powder|017v||p017r_1
 copper|017v||p017r_1
 metal|017v||p017r_1
 metal|017v||p017r_1
 tin|017v||p017r_1
 rosette|017v||p017r_1
 fine tin|017v||p017r_1
 rosette|017v||p017r_1
 tin|017v||p017r_1
 charcoal|017v||p017r_1
 cannon powder|017v||p017r_1
 arquebus powder|017v||p017r_1
 metal|017v||p017r_1
 rosette|017v||p017r_1
 rosette|017v||p017r_1
 metal|017v||p017r_1
 rosette|017v||p017r_1
 filth|017v||p017r_1
 rosette|017v||p017r_1
 metal|017v||p017r_1
 metal|018r||p017r_1
 rosette|018r||p017r_1
 metal|018r||p017r_1
 powder|018r||p017r_1
 powder|018r||p017r_1
 powder|018r||p017r_1
 powder|018r||p017r_1
 powder|018r||p017r_1
 smoke|018r||p017r_1
 powder|018v||p017r_1
 powder|018v||p017r_1
 powder|018v||p017r_1
 cannon powder|018v||p017r_1
 arquebus powder|018v||p017r_1
 powder|018v||p017r_1
