folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
017r,17r,p017r_1,arms and armor,On the gunner,horses;horses;horses;horses;horses;good horses;horses;horse;horses,thumb,lb;lb;lb;lb,,ditch casemates;private houses;small towns;fortresses of little importance;casemates;trenches;edge of the ditch;gabions;garrets topped with a tower;city;city;barricade;house or elsewhere;cities;houses;walls;tower;houses;houses,fine arquebus powder;ordinary cannon powder;powder;powder;rosette;metal;rosette;fine metal of <-la-> large bells;rosette;metal of small bells;metal;fine rosette;powder;powder;cannon powder;copper;metal;metal;tin;rosette;fine tin;rosette;tin;charcoal;cannon powder;arquebus powder;metal;rosette;rosette;metal;rosette;filth;rosette;metal;metal;rosette;metal;powder;powder;powder;powder;powder;smoke;powder;powder;powder;powder;cannon powder;arquebus powder;powder;powder;powder;powder;powder;powder;arquebus powder;cannon powder;iron;metal;metal;metal;iron;iron;metal;metal;copper;iron;iron;lead;metal;iron;lead;lead,,"paces;paces;paces;lb;King’s caliber;quintals;King’s caliber;lb;width of two balls & a quarter of a ball;width of one ball & a third of a ball;lb;lb;pans;pan of Montpellier;King’s pan;pan of Montpellier;King’s pan;paces;paces;three parts of rosette & one of the fine metal of <-la-> large bells;lb;pan of Montpellier;King’s inches;quintals;thickness of <-b-> two balls & one  <-l->of the three parts of one ball;thickness of one ball & <-two-> two of the three parts;pans;paces;paces;lb;lb;half ladle;per day;quintals;quintals & a half;quintal;lb;quintal;lb;quintal;lb per quintal;lb, according to the King’s ordinance, per quintal;lb;quintals;pans;thickness of half a ball;third part of a ball;ladles;one & a half of;one quintal of metal for two of rosette;as much of one as of the other;part;quintals;pans;King’s caliber;lb;lb;thickness of two of its balls & <-es->the  <-three-> third part<-s-> of a ball;thickness of one ball & two thirds;quintals;lb;paces;paces;league;thumb’s breadth;quintal;lb;lb;lb;thickness of two of its balls & the<-es-> th<-ree->ird part<-s-> of a ball;thickness of a ball & two of three parts;pans;thickness of three balls at the breech & at the front of two balls;quintal;pan;three balls at the breech & two in front;lb;pan;balls;league;a half league;quintals;pans;lb;pounds;thickness of three balls;paces;diameter of a ball & a half;escutcheon;thickness of two balls;thickness of three balls;up to the escutcheon;quintals;ladles;ladle;quintal;quintals;pans;lb;lb;At the breech it has three balls & two in front;caliber;3 balls thick;quintals;pans;lb;lb;At the breech it has three balls & two in the front;quintals;pans;lb;lb;At the breech three balls;ladle;quintals;pans;half a lb;At the breech, 3 balls, & 2 in front;quintals;3 balls & a twelfth part of a ball;quintal;pans;lb;At the breech 3 balls, two in front;balls;ball;up to the top of the escutcheon;balls;thickness of <-c-> five balls;ladle;lb;lb;lines;quintal;pans;quintal;up to the escutcheon;thickness of 4 balls;lb;pans;up to the escutcheon;the length of 4 balls",,,Montpellier;Montpellier;Montpellier;France;Toulouse;La Rochelle,Poncet,gunner;King;King;King;King;King;masters;master;King;master;King;cavalry;infantry;cavalry,bigger voice;sound,ladle;ladles;cauldrons;burin;burin;ladle;ladles;ladle;ladle;ladle;ladle;ladle,longer;day;by night,"cannon;cannon-perrier;small, short cannons;piece;piece;arquebus;cannon;piece;piece;long piece;cannon-perrier;cannons;cannons;cannon-perrier;great cannon;cannon-perrier;piece;pieces;piece;cannon;cannon;cannon;cannons;gun;large pieces;cannons;small pieces;cannon-perriers;cannon;arquebus;cannons;Old pieces;Large culverins;cannon;cannon;culverin;Culverins;cannons;cannon;pieces;smaller pieces;cannons;cannon;large pieces;bastarde;culverin;piece;large cannon;large culverin;bastard culverin;bastarde piece;pleasure pieces;pieces;bastarde;cannon;culverin;small pieces;cannons;cannons;bastarde;cannons;large pieces;medium pieces;field pieces;passe-volant;pieces;pieces;cannon;piece;cannon;arquebus powder;field piece;pieces;large pieces;passe-volant;piece;pieces;cannons;culverins;bastardes;field;pieces;falconet;falconets;pieces;piece;double musket;small pieces;arquebus;cannon;cannon;simple musket;Arquebus à croc;arquebus à croc;orgues;orgues",,,,,,
019v,19v,p019v_1,painting,  Mathematical figures without ruler and compass,,nail of your right thumb;big finger,,,,paper;paper;ink;paper;ink;paper,,required distance,,,,,,,ruler;compass;quill;nail of your right thumb;big finger;ruler;compass,,,,,,,,
019v,19v,p019v_2,painting,For writing as well from the left as from the right,,,,,,well-gummed ink;cards;ink;paper;card,,,,,,,,,tooth,,,,,,,cards,
019v,19v,p019v_3,medicine,Clysters,cat,wind,,,,leather;cat skin,Clysters,,,,,,,,leather sleeves or bags;sleeve;syringe,,,,,,,,
020r,20r,p020r_1,household and daily life,For making millas ,,,,,hearth;hearth,millas;millet;husks;flour;melted fresh butter;milk;dough to make fritters;egg yolks;flour;egg yolks;millas;saffron;earthenware;millas;dough;flour;dough;hay;embers,,as much of one as the other,,millet;saffron,,,,,hair sieve;molds;hearth;molds;molds;hearth;molds;lids;molds;lids,,,,,,,millas;hair sieve;millas;millas,
020r,20r,p020r_2,glass process,Glassworker,,,sous;lb,,,Glass from Lorraine;plate glass;straw;varnish;salt;drugs;Glass from Lorraine;Plate glass;Plate glass,,bundle;bundle;tablets;bundle;paniers;panier;plates,,straw,Lorraine;Lorraine;France;Lorraine,,Glassworker;glassmakers;glassworkers,,frame,,,,,,,,
020v,20v,p020v_1,medicine,For whitening the face,,face,,,,puffball;cistern water;whitened water;wheat starch,For whitening the face,,,puffball,,,,,,,,,,,,,
020v,20v,p020v_2,medicine,"Against winds, colic, &c",,winds;winds of the belly;belly,,,,Sap squeezed or water <-[illegible]-> distilled from orange peel;Candied peel;foaming wine;glass;orange juice;wine foam;juice,"Against winds, colic, &c;against the windy colic;for the winds of the belly",,,orange;orange,,,,,glass;candle,,,,,,,,
020v,20v,p020v_3,cultivation,Skirret root,,,,,in a very humid place where with such a rodier well or fountain one can water it often,,,,,Skirret,,,,,,,,,,,,rodier,
020v,20v,p020v_4,medicine,Against burn,,,,,,onion;verjuice;black soap,Against burn,,,onion,,,,,,,,,,,,,
020v,20v,p020v_5,household and daily life,Common saying,,,,,church,,,quintals,,,Rodez;Albi;Mende;Toulouse;France,,,,,,,,,,,,
020v,20v,p020v_6,medicine,A form of regimen,,finger;stomach,,,,eggs;centers;sugar;wine,A form of regimen;nourishing;makes a good stomach,finger,,,,,,,,Every morning;days,,,,,,,
021r,21r,p021r_1,arms and armor,Gunner,,,,,,powder;powder,,up to the escutcheon,,,,,Gunner,,ladle,,cannons;piece;cannon;cannon;cannon;piece;piece;piece,,,,,,
021r,21r,p021r_2,arms and armor;practical optics,For firing a cannon at night,,,,,,water;plumb;strong iron pegs;wooden,,,,,,,gunner;gunner,,torches;artificial fire;mirrors;flasks;quadrant;plumb line;ruler;ruler;ruler;ruler;ruler,,cannon;pieces;cannon;cannon;cannon;cannon;cannon;cannon,,,,,,
021v,21v,p021v_1,arms and armor,For unspiking a cannon,,,,,,powder;nail,,,,,,,gunner;founder,,nail;trepan;thread;screw,,cannon;cannon;cannon;piece,,,,,,
021v,21v,p021v_2,arms and armor,Defense of a town,,,,,,cart nails;large steel dice;bits of chain;coarsely <-pestling-> pestled glass;substance of the pieces,wounds,,,,,,,,pestling;pestled;molds;crucible,,petards;Grenades;grenades,,,,,crucible,
022r,22r,p022r_1,arms and armor,"Cannon ball, weighing 40 lb, having 12 lines, king's foot",,foot,,,,,,lb;lines;king's foot,,,,,,,,,Cannon,,,,,,
022v,22v,p022v_1,arms and armor,Orgues,horses,,,,,iron;powder,,pan;lb;pans;up to the escutcheon;three balls at the breech & two in front;line;line;twelfth part of the ball of the cannon;line;lb;ladles;lb,,,,,,,iron pegs;ladles,,Orgues;arquebus;orgues;cannons;arquebus à croc;double cannon;large ordinary cannon;cannon;cannon;cannon;cannon;basilics;pieces,,,,,,
023r,23r,p023r_1,arms and armor,[On petards],,finger;fingers;finger,,,,powder;fine copper;metal;iron;thick canvas;turpentine;iron;canvas;iron;buckram;buckram strip;iron;flint stones;cart flint stones;waxed canvas;turpentine;combustible things;primer powder;primer powder;iron;powder;canvas;powder;vinegar;eau-de-vie;canvas;very good turpentine;large strip of canvas;turpentine;powder;water,,quintals;pans;lb;quintals;quintal;pan;finger;canes;fingers;finger;lb;pans;parts;two times longer than the sausage;empan,,,,,,,iron pegs;wimble;gimlet;screw;auger;short stick;pegs;pegs;stick;bar;string;cord;thread;cord;forks,,petard;cannon;pieces;petard;petard;petard;petard;petard;petard;petard,,,,,,
023v,23v,p023v_1,arms and armor,[On petards],,,,,,iron;metal,,lb;quintals;half,,,,,,,,,Petards,,,,,,
024r,24r,p024r_1,arms and armor,Grenades,swan,face;wounds;finger;hand,,,very dry place;humid place,finest metal one can find;fine metal;crude metal;Fine metal;copper;tin;metal of a large bell;rosette;tin;powder;coarsely pestled glass;powder;glass;powder;best arquebus powder;fer blanc;good powder;good eau-de-vie;strong vinegar;powder;powder;powder,wounds,quintal;lb;lb;lb;ounce;the thickness of a swan’s quill;by the width of one finger;twice the back edge of a knife,,,,,,,pestled;pestled;mortar,every three days,Grenades;Grenades;grenade;arquebus;grenade;grenade;grenades;grenades;grenade;grenade,,,,,,
024v,24v,p024v_1,arms and armor,For bringing a cannon over land,horses’,fingers;foot;feet,,,land;fortified towns;poorly fortified towns,stone;earth;earth;powder;powder;powder;powder;hay;straw;hay;wooden;basan;flint stones;cart nails;wood;iron;iron;leather;leather,,fingers;half a foot;feet;width of two gabions;kegs;paces;quintals,,trees,France,,pioneers;gunner;pioneers;pioneers;pioneers;gunner;gunner;pioneers;gunner;gunners,,shovels;bags;frails;frail;ladle;rammer;ladle;wooden bungs;bungs;wedges,at night;at night,cannon;cannon;artillery;piece;torches;cannon;cannon;cannon;pieces;cannon;pieces;pieces;piece;cannon;arquebus;piece;cannon;cannon;cannon;cannon;cannon;cannon;cannon;piece;piece,,,,,,
024v,24v,p024v_2,arms and armor,Fowlers,,,,,,powder,,,,,,,,,,,Fowlers,,,,,,
024v,24v,p024v_3,arms and armor,A steel touch-hole,,,,,,A steel,,,,,,,gunner,,,,cannons,,,,,,
024v,24v,p024v_4,arms and armor,A touch-hole at the level,,,,,,,,,,,,,,,,,cannon,,,,,,
025v,25v,p025v_1,arms and armor,Gunner,,foot,,,,paper;cast iron;powder,,line;quintals;foot,,,,,Gunner;founders;gunners,,compass;model of paper;blades;borer,,cannon;cannon;piece;piece;big pieces;small pieces;piece;piece;piece;piece;cannon;piece;piece;piece,,,,,,
026r,26r,p026r_1,arms and armor,Cannonball,,,,,,,,,,,,,,,borer,,Cannonball,,,,,,
026r,26r,p026r_2,arms and armor,Petard,,,,,dry place,powder;sand;cork;wax;powder,,,,,,,,,pestle;pestled,days,,,,,,,
026v,26v,p026v_1,arms and armor,Culverin ball,,,,,,,,,,,,,,,,,Culverin,,,,,,
027r,27r,p027r_1,arms and armor,Bastarde ball,,,,,,,,,,,,,,,,,Bastarde,,,,,,
027r,27r,p027r_2,arms and armor,Medium ball,,,,,,,,,,,,,,,,,Medium,,,,,,
027r,27r,p027r_3,arms and armor,Field piece,,,,,,,,,,,,,,,,,Field piece,,,,,,
027v,27v,p027v_1,arms and armor,Falconet,,,,,,,,,,,,,,,,,Falconet,,,,,,
027v,27v,p027v_2,arms and armor,"Falconet of 4 quintals, alternatively passe- volant, is 8 pans long",,,,,,,,quintals;pans,,,,,,,,,Falconet;passe- volant,,,,,,
027v,27v,p027v_3,arms and armor,"3 quintals, is 9 pans long",,,,,,,,quintals;pans,,,,,,,,,,,,,,,
027v,27v,p027v_4,arms and armor,"2 quintals, is one cane long, which is 8 Montpellier pans",,,,,,,,quintals;cane;Montpellier pans,,,Montpellier,,,,,,,,,,,,
027v,27v,p027v_5,arms and armor,"1 quintal, is six pans and a half",,,,,,,,quintal;pans,,,,,,,,,,,,,,,
027v,27v,p027v_6,arms and armor,1 quintal and a half is 7 pans and a half,,,,,,,,quintal;pans,,,,,,,,,,,,,,,
027v,27v,p027v_7,arms and armor,"Musket, of 60 lb, is 5 pans and a half or 6",,,,,,,,lb;pans,,,,,,,,,Musket,,,,,,
027v,27v,p027v_8,arms and armor,5 quintals is eleven pans and a half,,,,,,,,quintals;pans,,,,,,,,,,,,,,,
028r,28r,p028r_1,arms and armor,The measure of the caliber of pieces,,,,,,,,quintals,,,,,,,,,pieces;piece,,,,,,
028v,28v,p028v_1,casting,Pewterers,,knees,,,mine;bonnes villes;countryside,tin;plates;solder;common tin;iron;tin from England;lead;fine lead;fine tin;lead;looking-glass tin;rosette;pierre <-porte-> morte;grais;tin;iron;charcoal;iron;water;tin is fine;glass-looking tin;tin is base;lead;looking-glass tin;looking-glass tin;rosette;looking-glass tin;rosette;tin,,lb;lb;quintal;lb;quintal;lb;quintal;lb;quintal;lb;lb;quintal;lb;lb;quintal;lb,,,England;Germany;bonnes villes,,"Pewterers;masters;miners;sworn master pewterers;others, who work in the countryside",sonorous,wheel;iron pot;iron spoon;cold molds;molds;cloth;female mold,,,,,,,,
029r,29r,p029r_1,casting,Stucco for molding,,,,,in the open air;in the serain,Stucco;tragacanth gum;water;jelly;marble;rye flour;wheat;tragacanth gum;flour;bread;bread dough;oil;oil;flour;strong glue;paste glue;gold;plaster;flour;water;water;plaster;marble;lead;water;gold;flour;tragacanth gum;plaster;chalk;ceruse;bole;stucco;tragacanth gum;Flour;chalk;ceruse,,day;times;days;days,,rye;wheat,Rome,,,,marble;oven;brush;marble;lead vessel,day;day;days;days,,,,,,,
029v,29v,p029v_1,varnish,Color of gold without gold on silver,,,,,,gold;silver;silver leaf;terre emerita;spike lavender oil varnish;sandarac;tinsel,,,,spike lavender,,,,,,,,,,,,,
029v,29v,p029v_2,painting,Layer of burnished gold on paper,,,,,,burnished gold;paper;starch;water;gold;Clear starch water;paper;burnished gold;simple paper,,,,,,,,,,,,,,,,,
029v,29v,p029v_3,household and daily life,Removing stains,,,,,,Good eau-de-vie,,,,,,,,,,,,,,,,,
029v,29v,p029v_4,painting,Seat for gold,,,,,,gold;terra emerita;saffron;strong glue;linen,,,,,,,,,linen cloth,,,,,,,,
029v,29v,p029v_5,painting,Extraction of oils,,,,,,oils,,,,,,,Apothecaries,,mortar;pestling,,,,,,,,
029v,29v,p029v_6,painting,Dragon’s blood,Dragon;dragon;dragon;dragon,,,,,Dragon’s blood;darker dragon’s blood;peas;hazelnuts;glass;eau-de-vie;wine lees;gold;good kind of dragon’s blood;rouge clair enamel;rubies;eau-de-vie;common eau-de-vie;aquafortis;water;tragacanth gum;dragon’s blood;burnished gold;turpentine varnish;water,,sufficient quantity;a long time,,peas;hazelnuts,,,,,glass bottle;stopper of the bottle,a long time,,,,,,,
030r,30r,p030r_1,metal process;practical optics,Lead,,arm's;fingers',,,,Lead,,arm's;fingers',,,Germany;Lyon;Nuremberg,,,,,,,,,,,,
030r,30r,p030r_2,casting,Pewterer,horse,little finger;hand,frans,,,metal;grais;metal;white clay earth;horse dung;cloth waste;grais;earth;grais;metal;metal;solder;grais;iron;iron;iron;putty;leather;wood;tin;iron;emery stone powder;putty,,little finger,,,,,Pewterer;rich,,molds;mold;molds;grais mold;mold;metal molds;grais molds;hammered;iron wheels;hammer;wheel;hammer;soldering iron;file;wheel;desgrusoue;desgrusouer;rope;rope;crossbar;wheel;esgrusouer;hand;desgrusouer;cutting iron;plane;putty;leather nailed onto a piece of wood;plane;plane;esgrusouer;knife;sharp iron;hammers;emery stone powder;putty;anvils,,,,,,,,
031r,31r,p031r_1,cultivation,New vine,pigeon,handfuls,,,,pigeon dung,,handfuls,,vine,,,,,,,,,,,,,
031r,31r,p031r_2,metal process,Colored waters,,Distilled urine,,,,Colored waters;Distilled urine;distilled vinegar;eau-de-vie;pulverized and finely ground æs ustum;tincture;red copper,,,,,,,,,filter,,,,,,æs ustum,,
031r,31r,p031r_3,varnish,Varnish resistant to water,,,,,in the rain;in the rain;in the rain,Varnish;water;Flanders varnish;turpentine;oil of turpentine or mastic;white walnut oil,,,,,Flanders,,,,,,,,,,,,
031r,31r,p031r_4,painting;household and daily life,Fruit made from sugar,,finger,,,,sugar;sugar,,,,,,,,,paintbrush;finger,,,,,,,,
031v,31v,p031v_1,painting,Painter,,,,,humidity,lake;egg yolk;reds from minium;oil;glair of  egg;oil,,,,,,,Painter;Scribes,,,,,,,,,,
031v,31v,p031v_2,painting,Brushes,,,,,,lime,,,,,,,white-limers,,Brushes,,,,,,,,
031v,31v,p031v_3,painting,Painting from nature,,,,,overcast weather,,,,,,,,,,,,,,,,,,
031v,31v,p031v_4,painting;glass process,Painting on glass,,,,,,azur d’esmail;shale;rocaille;noir d’escaille;glass;white paper;paper,,rosary beads,,,,,,,shale,,,,,,,,
032r,32r,p032r_1,arms and armor,The body of the cuirass,,,,,,,,,,,Milan,,masters,,hammer,,,,,,,,
032r,32r,p032r_2,painting;varnish,Painter,,,,,,distemper;oil;oil;distemper,,,,,Flemish,,Painter,,,,,,,,,,
032r,32r,p032r_3,painting,For layering gold in distemper,,,,,in the rain,gold;batture;joiner’s glue;water;honey;gild;gold;honey;candy sugar;water;sanguine;cocon;soap;gold,,drops,,,,,painters;scribes;joiner,,paintbrush,,,,,,,,
032v,32v,p032v_1,dyeing;household and daily life,Mat maker,,,,,partition walls of rooms,straw;straws;dye;pastel woad dye;pastel woad;straw;alum;brazilwood;pastel woad;copperas;tint,,width of ten <-b-> straws;in summer;in winter,,pastel woad;pastel woad;brazilwood;pastel woad,Toulouse,,Mat maker;villagers,,,in summer;in winter,,,,,,,
032v,32v,p032v_2,glass process,Glassworker,,,,,,red from Germany;sanguine;looking-glass tin;rocaille;litharge;iron scales;glass,,,,,Germany,,Glassworker,,,,,,,,,,
032v,32v,p032v_3,casting,Founder,,,lb;lb;lb;lb,,,"rosette;latten;great metals;tin for bells;fine tin;lead;Latten made brittle by the calamine;calamine;red copper;metal, which is the substance of bells;tin;silver;solder;water;fine coppersmith’s rosette;metal;Gold;silver;copper;latten;iron",,quintal;quintal;quintal,,,Germany,,Founder;coppersmith;founders,,,,,,,,,,
033r,33r,p033r_1,tricks and sleight of hand,Knife for cutting the nose or a finger,,nose;finger;nose;finger;thigh;finger;hand;nose;face;hands,,,,brazilwood rosette;black cherry juice,,the back of a knife,,black cherry,,,conjuror;spectators,pain,Knife;well-furbished knife;nailed;handle;knife;nail;handle;handle;knife;knife;handle;knife;knife,,,,,,,,
033r,33r,p033r_2,tricks and sleight of hand,X For relighting an extinguished candle between your hands without blowing,,hands;index finger;middle finger;hands;fingers;hands;hands;palms,,,,well dried <-between-> wicker;wicker;wicker;smoke;wicker,,like a toothpick,,,,,,,candle;stick of well dried <-between-> wicker;toothpick;candle;candle;candle,,,,,,,,
033v,33v,p033v_1,tricks and sleight of hand,For making it seem that to someone that he has a piece of silver on his forehead,,forehead;forehead;forehead;hands;head;forehead;hand;thumb;saliva;forehead;forehead;saliva;ears,,,,silver;silver;saliva;saliva,,,,,,,bystander,coolness,piece of silver;token;piece of silver,,,,,,,,
033v,33v,p033v_2,tricks and sleight of hand,For making blood or wine issue from someone’s forehead or from a wall,,blood;forehead;little finger;thumb;forehead;hand;forehead;thumb;head,,,wall,blood;wine;fer blanc;wine;liquid rosette of Brazilwood;black cherry juice;wine;wine;air;wine;air;wine;glass;air;wine;glass,,,,black cherry,,,bystanders;fellow,tasting,funnel;funnel of fer blanc;funnel;bodkin rounded at the tip & that goes into its handle;glass;funnel;glass,,,,,,,funnel;funnel;funnel,
034r,34r,p034r_1,tricks and sleight of hand,"For telling someone that by putting holding a finger to his forehead, you will prevent him from exiting a chamber",,finger;forehead;arm;arm;finger;forehead,,,chamber,,,,,,,,,,bedpost,,,,,,,,
034r,34r,p034r_2,tricks and sleight of hand,"X Wager someone e that walking to a certain place and back, he cannot say boot without spur four times in a row",,,,,,,,,,,,,,loudly,,,,,,,,,
034r,34r,p034r_3,tricks and sleight of hand,For making a candlestick hold to the wall without making a hole in it,,,,,wall;wall,,,,,,,,servant,,candlestick,,,,,,,,
034r,34r,p034r_4,tricks and sleight of hand,X How not to break a glass with a log or a large stick,,,,,,glass;glass,,as a toothpick,,,,,,,glass;log;large stick;toothpick;log;large stick;glass,,,,,,,,
034r,34r,p034r_5,tricks and sleight of hand,Writing cunningly,,,,,,fine parchment;rough cloth,,,,,,,messenger,,shirt of rough cloth,,,,,,,,
034v,34v,p034v_1,tricks and sleight of hand,For melting or transmuting a jewel put inside a box,,index finger;fingers;index finger,,,,boxwood;leather;powdered gold or silver;mercury;silver;leather;leather;leather;leather;powder;amalgam;leather;leather,,,,,,,,,jewel;box;box of boxwood banded with rings;small box;large box;box;leather cover of the same length as the box;box;boxes;larger box;little box;box;smaller box;jewel;box;table;leather box;leather box;table;jewel;small box;leather box;leather box;smaller box;jewel;table;large box;leather box;leather box;jewel;box,,,,,,inhonorificabilitidinita<-d->tudinibus,,
035r,35r,p035r_1,tricks and sleight of hand,"For telling someone that you will show teach him something he does not know, and neither do you",,ear;nose,,,,,,from the tip of his ear to the tip of his nose,,,,,,,string;small stick,,,,,,,,
035r,35r,p035r_2,tricks and sleight of hand,For supporting a bucket of water on the tips of three knives laid down without touching the ground,,,,,kitchen,water,,,,,,,,,"bucket;knives;knives, either kitchen or table;pikes, with joists;halberd points;knife;knife",,,,,,,,
035r,35r,p035r_3,tricks and sleight of hand,For boiling an egg in cold water without fire,,fingers,,,,egg;cold water;egg;quicklime;natural sulfur;wax;water,,fingers,,,,,,,,,,,,,,,
035r,35r,p035r_4,household and daily life;tricks and sleight of hand,For making rabbits come out of a burrow,rabbits,,,,burrow;burrows,embers;sulfur,,,,,,,,,pot,,,,,,,,
035v,35v,p035v_1,tricks and sleight of hand,For preventing someone from eating a foodstuff,,,,,,foodstuff;calf’s foot root;arum;foodstuff,,,,calf’s foot;arum,,Mathiol,,,,,,,,,,,
